正面	反面	标签
Vue 2 的响应式原理是什么？它有哪些局限？	<strong>原理</strong>：<br>Vue 2 使用 Object.defineProperty 对 data 中的属性进行劫持，在 getter 中收集依赖（Dep），在 setter 中派发更新（通知 Watcher 重新渲染）。<br><br><strong>局限</strong>：<br>• 无法检测对象属性的添加/删除（需用 Vue.set / this.$set）<br>• 无法直接检测数组索引修改和 length 修改（重写了 push/pop 等 7 个数组方法）<br>• 需要递归遍历所有属性，初始化性能受影响	Vue 响应式原理
Vue 3 的响应式原理是什么？相比 Vue 2 有哪些改进？	<strong>原理</strong>：<br>Vue 3 使用 Proxy 代理整个对象，拦截 get、set、deleteProperty 等操作，实现响应式。<br><br><strong>改进</strong>：<br>• 可检测属性添加/删除<br>• 可检测数组索引和 length 变化<br>• 懒代理（访问时才递归代理深层对象），性能更好<br>• 支持 Map、Set、WeakMap 等原生集合类型	Vue 响应式原理
Vue 的依赖收集和派发更新流程是怎样的？	<strong>依赖收集</strong>：<br>1. 组件渲染时，读取响应式数据，触发 getter<br>2. getter 中将当前活跃的 Watcher（Dep.target）添加到依赖列表（Dep）<br>3. 每个响应式属性对应一个 Dep，每个组件对应一个 Watcher<br><br><strong>派发更新</strong>：<br>1. 修改响应式数据，触发 setter<br>2. setter 通知对应的 Dep<br>3. Dep 通知所有订阅的 Watcher 执行更新<br>4. Watcher 触发组件重新渲染	Vue 响应式原理
Vue 的虚拟 DOM 是什么？有什么优点？	<strong>虚拟 DOM</strong>：<br>用 JavaScript 对象描述真实 DOM 树的结构，包含标签名、属性、子节点等信息。<br><br><strong>优点</strong>：<br>• 减少直接操作真实 DOM 的次数，将多次操作合并为一次批量更新<br>• 跨平台能力（Weex、小程序等）<br>• 声明式编程，开发者只需关注数据，Vue 负责更新 DOM	Vue 虚拟 DOM
Vue 的 diff 算法是如何工作的？	<strong>流程</strong>：<br>1. 同层比较，不跨层级<br>2. 先比较新旧节点是否是相同节点（key 相同且标签名相同）<br>3. 若不是相同节点，直接替换<br>4. 若是相同节点，进行属性更新，然后比较子节点<br><br><strong>子节点优化策略（双端对比）</strong>：<br>• 头头比较、尾尾比较、头尾比较、尾头比较<br>• 尽可能复用节点，减少移动操作<br>• 最后处理新增/删除节点	Vue 虚拟 DOM
为什么 v-for 中需要绑定 key？key 的作用是什么？	<strong>作用</strong>：<br>key 是 Vue 识别节点的唯一标识，用于虚拟 DOM 的 diff 算法中优化节点复用。<br><br><strong>无 key</strong>：Vue 采用就地复用策略，尽可能复用节点，可能导致状态错乱。<br><br><strong>有 key</strong>：diff 时会根据 key 精准匹配新老节点，实现高效复用，减少 DOM 操作。<br><br><strong>注意</strong>：<br>• 不能使用 index 作为 key（当列表顺序变化时会降低性能或导致状态错误）<br>• 应使用唯一且稳定的 id 作为 key	Vue 虚拟 DOM
Vue 组件中的 data 为什么必须是函数？	<strong>原因</strong>：<br>• 组件可能被多次复用，每个组件实例需要维护独立的数据副本。<br>• 如果 data 是对象，多个组件实例会共享同一个数据引用，导致数据互相影响。<br>• 使用函数返回新对象，每次创建组件实例时都会调用 data 函数，返回独立的数据对象。<br><br><strong>对比</strong>：<br>• new Vue({ data: { ... } }) 中的 data 可以是对象，因为 Vue 实例通常是单例的。	Vue 基础
Vue 的 computed 和 watch 有什么区别？分别在什么场景使用？	<strong>computed 计算属性</strong>：<br>• 依赖响应式数据，有缓存（依赖不变则不重新计算）<br>• 必须是同步的，不支持异步操作<br>• 默认只有 getter，可设置 setter<br>• 场景：模板中需要基于数据计算得出的值（如过滤列表、格式化数据）<br><br><strong>watch 侦听器</strong>：<br>• 无缓存，监听数据变化时执行回调<br>• 支持异步操作<br>• 可监听深层对象（deep）、立即执行（immediate）<br>• 场景：数据变化时执行副作用（如请求接口、操作 DOM）	Vue 基础
Vue 组件间有哪些通信方式？分别适用于什么场景？	<strong>1. props / $emit</strong><br>父子组件通信，父传子用 props，子传父用 $emit 触发事件。<br><br><strong>2. provide / inject</strong><br>祖先组件向后代组件注入数据，适用于跨越多层级的组件通信（非响应式，可传入响应式数据）。<br><br><strong>3. $parent / $children / $refs</strong><br>直接访问父组件或子组件实例，适合简单场景，耦合度高。<br><br><strong>4. eventBus（事件总线）</strong><br>通过空的 Vue 实例作为中央事件总线，任意组件间通信，但需手动管理事件监听。<br><br><strong>5. Vuex / Pinia</strong><br>全局状态管理，适用于复杂应用或跨组件共享数据。<br><br><strong>6. $attrs / $listeners（Vue 2）</strong><br>透传父组件传递的非 props 属性和监听器。	Vue 组件通信
props 和 $emit 的父子组件通信流程是怎样的？	<strong>父传子（props）</strong>：<br>1. 父组件在子组件标签上绑定属性：&lt;Child :msg="parentMsg" /&gt;<br>2. 子组件通过 props 选项声明接收：props: ['msg']<br>3. 子组件模板中可直接使用 msg<br><br><strong>子传父（$emit）</strong>：<br>1. 子组件调用 this.$emit('eventName', data)<br>2. 父组件在子组件标签上监听事件：&lt;Child @eventName="handleEvent" /&gt;<br>3. 父组件的 handleEvent 方法接收 data 参数<br><br><strong>注意</strong>：Vue 遵循单向数据流，子组件不能直接修改 props。	Vue 组件通信
