正面	反面	标签
前端性能优化的核心指标有哪些？分别代表什么含义？	<strong>FCP（First Contentful Paint）</strong><br>首次内容绘制，浏览器首次绘制任何内容（文本、图片、canvas）的时间。<br><br><strong>LCP（Largest Contentful Paint）</strong><br>最大内容绘制，视口中最大元素（图片、视频、文本块）渲染完成的时间。<br>• 优秀标准：≤ 2.5s<br><br><strong>FID（First Input Delay）</strong><br>首次输入延迟，用户首次与页面交互（点击、按键）到浏览器响应的时间。<br>• 优秀标准：≤ 100ms<br><br><strong>CLS（Cumulative Layout Shift）</strong><br>累积布局偏移，页面生命周期中意外布局移动的分数。<br>• 优秀标准：≤ 0.1<br><br><strong>TTI（Time to Interactive）</strong><br>可交互时间，页面完全可交互的时间点。<br><br><strong>TBT（Total Blocking Time）</strong><br>总阻塞时间，FCP 到 TTI 之间长任务的总时长。	性能指标
如何优化首屏加载速度？	<strong>1. 资源优化</strong><br>• 图片压缩、使用 WebP 格式<br>• 代码压缩（TerserPlugin）、开启 gzip/Brotli 压缩<br><br><strong>2. 加载策略</strong><br>• 路由懒加载（动态 import）<br>• 关键 CSS 内联，非关键 CSS 异步加载<br>• script 标签使用 async/defer<br><br><strong>3. 缓存优化</strong><br>• 强缓存 + 协商缓存<br>• 带 hash 的静态资源设置永久缓存<br><br><strong>4. 网络优化</strong><br>• CDN 加速静态资源<br>• HTTP/2 多路复用<br>• 预加载关键资源（preload、preconnect）<br><br><strong>5. 渲染优化</strong><br>• 服务端渲染（SSR）或静态生成（SSG）<br>• 骨架屏提升感知性能	加载优化
preload、prefetch、preconnect、dns-prefetch 有什么区别？	<strong>preload</strong><br>• 立即加载当前页面必需的资源<br>• 提升资源加载优先级<br>• 使用：&lt;link rel="preload" href="font.woff2" as="font"&gt;<br><br><strong>prefetch</strong><br>• 预加载下次导航可能用到的资源<br>• 空闲时加载，优先级低<br>• 使用：&lt;link rel="prefetch" href="next-page.js"&gt;<br><br><strong>preconnect</strong><br>• 提前建立与第三方域的连接（DNS + TCP + TLS）<br>• 使用：&lt;link rel="preconnect" href="https://api.example.com"&gt;<br><br><strong>dns-prefetch</strong><br>• 仅提前解析 DNS<br>• 使用：&lt;link rel="dns-prefetch" href="https://cdn.example.com"&gt;<br><br><strong>优先级</strong>：preload > preconnect > dns-prefetch > prefetch	加载优化
如何优化图片加载性能？	<strong>1. 格式选择</strong><br>• WebP：压缩率优于 PNG/JPEG，兼容性 96%+<br>• AVIF：比 WebP 压缩率更高<br>• SVG：矢量图形，无限缩放<br><br><strong>2. 懒加载</strong><br>&lt;img loading="lazy" src="image.jpg"&gt;<br>或使用 IntersectionObserver 实现自定义懒加载<br><br><strong>3. 响应式图片</strong><br>&lt;picture&gt;<br>  &lt;source srcset="image.webp" type="image/webp"&gt;<br>  &lt;img src="image.jpg"&gt;<br>&lt;/picture&gt;<br><br><strong>4. CDN 图片服务</strong><br>• 动态裁剪、压缩、格式转换<br>• 如：阿里云 OSS、七牛云<br><br><strong>5. 雪碧图（Sprite）</strong><br>合并小图标，减少 HTTP 请求<br><br><strong>6. 图标字体 / SVG 图标</strong><br>替代 PNG 图标	加载优化
什么是 RAIL 模型？	<strong>RAIL</strong><br>Google 提出的以用户为中心的性能模型，包含四个维度：<br><br><strong>Response（响应）</strong><br>• 目标：处理事件 < 100ms<br>• 用户感知的交互延迟应在 100ms 内<br><br><strong>Animation（动画）</strong><br>• 目标：每帧 < 16ms（60fps）<br>• 避免重排重绘，使用 transform、opacity 实现动画<br><br><strong>Idle（空闲）</strong><br>• 目标：空闲时间 < 50ms 的切片<br>• 利用空闲时间执行非紧急任务（如 prefetch）<br><br><strong>Load（加载）</strong><br>• 目标：首屏加载 < 5s（移动端）<br>• 优化关键渲染路径，提升 LCP	性能指标
如何监控前端性能？有哪些常用工具？	<strong>开发阶段工具</strong><br>• Lighthouse：Chrome DevTools 内置，给出性能评分和优化建议<br>• WebPageTest：多地域、多设备真实测试<br>• Chrome DevTools Performance：分析运行时性能<br><br><strong>线上监控方案</strong><br>• Performance API：通过 window.performance 获取性能数据<br>• PerformanceObserver：监听性能条目变化<br>• Sentry：错误监控 + 性能监控<br>• 阿里云 ARMS / 腾讯云 TAM：前端监控平台<br><br><strong>核心采集数据</strong><br>const perfData = {<br>  fcp: performance.getEntriesByName('first-contentful-paint')[0]?.startTime,<br>  lcp: 从 PerformanceObserver 获取,<br>  fid: 从 PerformanceObserver 获取,<br>  cls: 从 PerformanceObserver 获取<br>}<br><br><strong>上报方式</strong><br>• navigator.sendBeacon：保证页面关闭时也能发送	性能监控
如何通过 Performance API 测量页面性能？	<strong>Navigation Timing API</strong><br>performance.timing（已废弃，建议使用 PerformanceNavigationTiming）<br><br><strong>关键指标计算</strong><br>const perfData = performance.getEntriesByType('navigation')[0]<br><br>// DNS 解析时间<br>const dns = perfData.domainLookupEnd - perfData.domainLookupStart<br><br>// TCP 连接时间<br>const tcp = perfData.connectEnd - perfData.connectStart<br><br>// 首字节时间（TTFB）<br>const ttfb = perfData.responseStart - perfData.fetchStart<br><br>// DOM 解析完成时间<br>const domReady = perfData.domContentLoadedEventEnd - perfData.fetchStart<br><br>// 页面完全加载时间<br>const load = perfData.loadEventEnd - perfData.fetchStart<br><br><strong>Resource Timing API</strong><br>performance.getEntriesByType('resource')<br>获取每个资源（JS、CSS、图片）的加载耗时	性能监控
什么是 Core Web Vitals？如何优化？	<strong>Core Web Vitals</strong><br>Google 定义的核心用户体验指标，包含 LCP、FID、CLS。<br><br><strong>LCP（最大内容绘制）优化</strong><br>• 优化服务器响应（TTFB）<br>• 关键资源 preload<br>• 优化 CSS 阻塞渲染<br>• 图片压缩、CDN<br><br><strong>FID（首次输入延迟）优化</strong><br>• 分解长任务（使用 setTimeout 或 Web Worker）<br>• 减少主线程阻塞<br>• 延迟加载非关键 JS<br><br><strong>CLS（累积布局偏移）优化</strong><br>• 图片/视频设置宽高属性<br>• 为动态内容预留空间（骨架屏）<br>• 避免在现有内容上方插入元素<br>• 使用 transform 动画替代改变布局的动画	性能指标
如何优化渲染性能，减少重排和重绘？	<strong>减少重排（Reflow）</strong><br>• 批量修改样式：使用 class 或 cssText 一次性修改<br>• 脱离文档流：使用 position: absolute/fixed 操作动画元素<br>• 使用 documentFragment 批量操作 DOM<br>• 缓存布局属性：避免频繁读取 offsetWidth/offsetTop 等<br>• 使用 transform 替代改变位置/尺寸的动画<br><br><strong>减少重绘（Repaint）</strong><br>• 避免单独修改样式（颜色、背景）触发频繁重绘<br>• 合并多次样式修改<br>• 使用 requestAnimationFrame 优化动画<br><br><strong>GPU 加速</strong><br>• 使用 transform: translateZ(0) 或 will-change 提升为独立图层<br>• 动画使用 transform 和 opacity（不触发重排）<br><br><strong>注意</strong><br>• 不要滥用 will-change，仅对即将变化的元素使用<br>• 独立图层过多会占用内存	渲染优化
什么是虚拟滚动（Virtual Scrolling）？如何实现？	<strong>原理</strong><br>只渲染可视区域内的列表项，通过动态计算滚动位置，替换可见数据，实现大量数据的流畅滚动。<br><br><strong>核心实现思路</strong><br>1. 计算可视区域可容纳的列表项数量<br>2. 监听滚动事件，计算当前滚动位置对应的起始索引<br>3. 仅渲染起始索引到结束索引范围内的数据<br>4. 使用占位元素撑开滚动条高度（总高度 = 单项高度 × 总数量）<br><br><strong>代码示例</strong><br>// 简易虚拟滚动核心<br>const startIndex = Math.floor(scrollTop / itemHeight)<br>const endIndex = startIndex + visibleCount<br>const visibleData = data.slice(startIndex, endIndex)<br>// 渲染 visibleData，使用 transform 偏移位置<br><br><strong>现成方案</strong><br>• vue-virtual-scroller<br>• react-window / react-virtualized<br>• 原生虚拟滚动库	渲染优化
