正面	反面	标签
Webpack 的构建流程是怎样的？	<strong>初始化阶段</strong>：<br>1. 合并配置参数（CLI + webpack.config.js）<br>2. 创建 Compiler 对象，注册所有插件<br>3. 开始编译：调用 Compiler.run()<br><br><strong>编译阶段</strong>：<br>4. 从入口开始，递归解析模块依赖<br>5. 使用 Loader 转换模块内容<br>6. 生成 AST，分析依赖关系<br>7. 构建模块依赖图（Module Graph）<br><br><strong>输出阶段</strong>：<br>8. 根据配置组装 Chunk<br>9. 调用 Plugin 优化资源<br>10. 输出最终文件（bundle.js）<br><br><strong>关键对象</strong>：<br>• Compiler：整个生命周期管理者<br>• Compilation：每次构建的资源集合	Webpack 核心
Loader 和 Plugin 的区别是什么？	<strong>Loader</strong>：<br>• 用于转换模块内容（如 .vue、.ts、.scss）<br>• 在模块加载时工作，作用于单个文件<br>• 本质是函数，接收源文件内容，返回转换后内容<br>• 配置在 module.rules 中<br><br><strong>Plugin</strong>：<br>• 用于扩展 Webpack 功能（打包优化、资源管理、环境变量注入）<br>• 在整个构建生命周期工作，作用于整个构建过程<br>• 本质是类，通过 hooks 机制介入构建流程<br>• 配置在 plugins 数组中<br><br><strong>执行时机</strong>：<br>Loader 在模块解析时执行，Plugin 在构建生命周期各阶段执行	Webpack 核心
常用的 Loader 有哪些？分别的作用是什么？	<strong>babel-loader</strong>：<br>将 ES6+ 代码转换为 ES5<br><br><strong>css-loader</strong>：<br>解析 CSS 文件中的 @import、url() 等语法<br><br><strong>style-loader</strong>：<br>将 CSS 通过 &lt;style&gt; 标签插入 HTML<br><br><strong>sass-loader / less-loader</strong>：<br>编译 Sass/Less 为 CSS<br><br><strong>vue-loader</strong>：<br>解析 Vue 单文件组件（.vue）<br><br><strong>url-loader</strong>：<br>将小于 limit 的图片转为 Base64（依赖 file-loader）<br><br><strong>file-loader</strong>：<br>输出文件到目录，返回路径<br><br><strong>thread-loader</strong>：<br>多进程并行构建，提升构建速度	Webpack 核心
常用的 Plugin 有哪些？分别的作用是什么？	<strong>HtmlWebpackPlugin</strong>：<br>生成 HTML 文件，自动注入打包后的 JS/CSS<br><br><strong>MiniCssExtractPlugin</strong>：<br>将 CSS 提取为独立文件（替代 style-loader）<br><br><strong>CleanWebpackPlugin</strong>：<br>构建前清理输出目录<br><br><strong>DefinePlugin</strong>：<br>定义全局常量（如 process.env.NODE_ENV）<br><br><strong>HotModuleReplacementPlugin</strong>：<br>启用热模块替换（HMR）<br><br><strong>CompressionWebpackPlugin</strong>：<br>生成 gzip 压缩文件<br><br><strong>CopyWebpackPlugin</strong>：<br>复制静态资源到输出目录<br><br><strong>BundleAnalyzerPlugin</strong>：<br>可视化分析打包体积	Webpack 核心
如何实现一个自定义 Loader？	<strong>Loader 本质</strong>：<br>导出的函数，接收源文件内容，返回处理后的内容。<br><br><strong>代码示例</strong>：<br>module.exports = function(source) {<br>  // source 是源文件内容（字符串）<br>  const result = source.replace(/console\.log\(.*?\);?/g, '')<br>  return result  // 返回处理后的代码<br>}<br><br><strong>配置使用</strong>：<br>module: {<br>  rules: [{<br>    test: /\.js$/,<br>    use: path.resolve('./loaders/remove-console-loader.js')<br>  }]<br>}<br><br><strong>关键点</strong>：<br>• 支持同步/异步（异步需调用 this.async()）<br>• 可通过 this.query 获取配置参数<br>• 遵循单一职责，每个 Loader 处理单一转换	Webpack Loader
如何实现一个自定义 Plugin？	<strong>Plugin 本质</strong>：<br>类，包含 apply 方法，接收 compiler 对象，通过 hooks 注册任务。<br><br><strong>代码示例</strong>：<br>class MyPlugin {<br>  apply(compiler) {<br>    // 在输出资源前执行<br>    compiler.hooks.emit.tapAsync('MyPlugin', (compilation, callback) => {<br>      // 操作 compilation.assets<br>      console.log('Assets:', Object.keys(compilation.assets))<br>      callback()<br>    })<br>  }<br>}<br><br><strong>常用 hooks</strong>：<br>• compile：开始编译<br>• compilation：创建 Compilation 对象<br>• emit：生成资源到输出目录前<br>• done：编译完成<br><br><strong>关键点</strong>：<br>• 通过 tap/tapAsync/tapPromise 注册回调<br>• 可修改 compilation.assets 操作输出文件	Webpack Plugin
Webpack 中如何处理文件路径和别名（alias）？	<strong>配置别名</strong>：<br>resolve: {<br>  alias: {<br>    '@': path.resolve(__dirname, 'src'),<br>    'components': path.resolve(__dirname, 'src/components')<br>  },<br>  extensions: ['.js', '.vue', '.json']  // 自动补全扩展名<br>}<br><br><strong>作用</strong>：<br>• 简化模块引入路径（import Button from '@/components/Button'）<br>• 避免 ../../../ 相对路径混乱<br><br><strong>注意</strong>：<br>• 别名配置需同时支持 IDE 跳转（如 jsconfig.json 或 tsconfig.json 中配置 paths）<br>• 在 Vue CLI 中可直接使用 @ 指向 src 目录	Webpack 核心
Webpack 的 Tree Shaking 原理是什么？如何配置？	<strong>原理</strong>：<br>基于 ES Module 的静态分析，在打包时移除未使用的代码。<br><br><strong>实现条件</strong>：<br>• 使用 ES Module（import/export）<br>• package.json 中设置 sideEffects: false<br>• 生产模式自动启用（mode: 'production'）<br><br><strong>sideEffects 配置</strong>：<br>// package.json<br>{<br>  "sideEffects": [<br>    "*.css",  // 保留 CSS 文件<br>    "*.scss"<br>  ]<br>}<br><br><strong>手动配置</strong>：<br>optimization: {<br>  usedExports: true,  // 标记未使用导出<br>  minimize: true      // 压缩移除未使用代码<br>}<br><br><strong>注意事项</strong>：<br>• CommonJS 模块无法 Tree Shaking<br>• 某些库需声明 sideEffects: false	Webpack 优化
Webpack 热更新（HMR）的原理是什么？	<strong>HMR 全称</strong>：Hot Module Replacement，模块热替换，在不刷新页面的情况下替换、添加、删除模块。<br><br><strong>核心流程</strong>：<br>1. 启动构建：webpack-dev-server 启动服务，注入 HMR runtime 代码<br>2. 文件监听：watch 模式下，文件修改触发重新编译<br>3. 生成更新：编译生成新的 chunk（包含 hash 和更新模块信息）<br>4. 推送更新：通过 WebSocket 将 hash 推送给客户端<br>5. 请求更新：客户端根据 hash 向服务端请求更新清单（manifest）<br>6. 下载模块：请求更新的模块代码<br>7. 模块替换：HMR runtime 执行模块替换，调用 accept 回调<br><br><strong>关键对象</strong>：<br>• Webpack Dev Server：启动本地服务，建立 WebSocket<br>• HMR Runtime：客户端运行时代码，处理更新逻辑<br>• Accept 回调：模块需手动声明热替换后的处理逻辑（vue-loader 已内置）	Webpack HMR
如何配置 Webpack 实现代码分割（Code Splitting）？	<strong>代码分割方式</strong>：<br><br><strong>1. 入口点分割（Entry Points）</strong><br>entry: {<br>  index: './src/index.js',<br>  admin: './src/admin.js'<br>}<br><br><strong>2. 动态导入（Dynamic Imports）</strong><br>import('./module').then(module => {<br>  module.default()<br>})<br><br><strong>3. SplitChunksPlugin 配置</strong><br>optimization: {<br>  splitChunks: {<br>    chunks: 'all',  // 异步/同步都分割<br>    cacheGroups: {<br>      vendors: {<br>        test: /[\\/]node_modules[\\/]/,<br>        name: 'vendors',<br>        priority: 10<br>      },<br>      common: {<br>        minChunks: 2,  // 至少被引用次数<br>        name: 'common',<br>        priority: 5<br>      }<br>    }<br>  }<br>}<br><br><strong>作用</strong>：减少首屏加载体积，利用浏览器并行加载，利用缓存。	Webpack 优化
SplitChunksPlugin 的常用配置项有哪些？	<strong>常用配置项</strong>：<br><br>• chunks：选择分割的模块类型<br>  - 'initial'：仅同步模块<br>  - 'async'：仅异步模块（默认）<br>  - 'all'：同步 + 异步<br><br>• minSize：生成 chunk 的最小体积（字节）<br>• maxSize：生成 chunk 的最大体积（提示分割）<br>• minChunks：模块被引用的最小次数<br>• maxAsyncRequests：按需加载时的最大并行请求数<br>• maxInitialRequests：入口点的最大并行请求数<br><br>• cacheGroups：缓存组，定义分割规则<br>  - test：匹配模块路径<br>  - name：chunk 名称<br>  - priority：优先级（数字越大优先级越高）<br>  - reuseExistingChunk：复用已存在的 chunk	Webpack 优化
Babel 的编译流程是怎样的？	<strong>三阶段流程</strong>：<br><br><strong>1. 解析（Parse）</strong><br>• 将源代码解析为 AST（抽象语法树）<br>• 使用 @babel/parser，支持 JSX、TypeScript 等语法<br><br><strong>2. 转换（Transform）</strong><br>• 遍历 AST，应用各种 plugin 进行转换<br>• 使用 @babel/traverse 遍历节点<br>• 使用 @babel/types 构建新节点<br><br><strong>3. 生成（Generate）</strong><br>• 将转换后的 AST 生成目标代码<br>• 使用 @babel/generator 生成代码和 source map<br><br><strong>关键包</strong>：<br>• @babel/core：核心库，集成流程<br>• @babel/preset-env：智能预设，根据目标环境转换语法	Babel
preset-env 的作用是什么？如何配置目标浏览器？	<strong>作用</strong>：<br>@babel/preset-env 是一个智能预设，根据配置的目标环境，自动决定需要转换的语法和需要引入的 polyfill。<br><br><strong>配置方式</strong>：<br>// babel.config.js<br>module.exports = {<br>  presets: [<br>    ['@babel/preset-env', {<br>      targets: {<br>        browsers: ['> 1%', 'last 2 versions', 'not dead']<br>      },<br>      useBuiltIns: 'usage',  // 按需引入 polyfill<br>      corejs: 3<br>    }]<br>  ]<br>}<br><br><strong>targets 配置</strong>：<br>• browsers：浏览器列表（基于 browserslist）<br>• node：Node.js 版本<br>• esmodules：目标为 ES modules 环境<br><br><strong>useBuiltIns 选项</strong>：<br>• false：不引入 polyfill<br>• entry：根据目标环境在入口处引入全部 polyfill<br>• usage：按需引入，自动检测代码中使用的特性	Babel
Babel 如何处理 Polyfill？core-js 的作用是什么？	<strong>Polyfill 作用</strong>：<br>补充目标环境缺失的 API（如 Promise、Array.prototype.includes）。<br><br><strong>core-js</strong>：<br>JavaScript 标准库的 polyfill 库，提供 ES5+ 所有 API 的实现。<br><br><strong>配置方式</strong>：<br>// babel.config.js<br>module.exports = {<br>  presets: [<br>    ['@babel/preset-env', {<br>      useBuiltIns: 'usage',  // 按需引入<br>      corejs: 3  // 指定 core-js 版本<br>    }]<br>  ]<br>}<br><br><strong>编译效果</strong>：<br>// 源代码<br>const p = Promise.resolve()<br><br>// 转换后（自动引入 core-js 模块）<br>import 'core-js/modules/es.promise.js'<br>const p = Promise.resolve()<br><br><strong>注意</strong>：<br>• 不推荐直接引入全部 polyfill（增加体积）<br>• 库开发应使用 @babel/plugin-transform-runtime 避免全局污染	Babel
