正面	反面	标签
什么是闭包？举一个实际开发中的使用场景。	闭包 = 函数 + 函数能够访问外部作用域变量的能力。<br>常见场景：<br>• 数据私有（封装变量）<br>• 函数工厂（如创建计数器）<br>• 回调函数中保留外部变量（如循环中注册事件）	JavaScript 闭包
var、let、const 的区别有哪些？	1. 作用域：var 函数作用域，let/const 块级作用域<br>2. 变量提升：var 会提升并初始化为 undefined；let/const 会提升但暂存死区，初始化前不能访问<br>3. 重复声明：var 允许，let/const 不允许<br>4. 全局声明：var 在全局下会挂载到 window，let/const 不会<br>5. 常量：const 声明后不可重新赋值（引用类型不可变引用，但属性可改）	JavaScript 作用域
如何用 class 和 ES5 分别实现一个简单的继承？	<strong>ES6 class</strong><br>class Parent { constructor(name) { this.name = name; } say() { console.log(this.name); } }<br>class Child extends Parent { constructor(name, age) { super(name); this.age = age; } }<br><br><strong>ES5 组合继承</strong><br>function Parent(name) { this.name = name; }<br>Parent.prototype.say = function() { console.log(this.name); };<br>function Child(name, age) { Parent.call(this, name); this.age = age; }<br>Child.prototype = Object.create(Parent.prototype);<br>Child.prototype.constructor = Child;	JavaScript 原型继承
instanceof 的原理是什么？它有什么限制？	原理：沿着实例的 __proto__ 链向上查找，看是否存在 constructor.prototype。<br>限制：<br>• 无法跨 iframe / 不同执行环境（原型链不共用）<br>• 对原始类型无效（1 instanceof Number → false）<br>• 在原型被动态修改后可能不准确	JavaScript 原型
如何判断函数中的 this 指向？箭头函数的 this 有什么特殊？	<strong>普通函数 this 判断（优先级从高到低）</strong><br>1. new 绑定：指向新创建的实例<br>2. 显式绑定：call/apply/bind 指定的对象<br>3. 隐式绑定：通过对象调用（obj.fn() 指向 obj）<br>4. 默认绑定：独立调用时指向全局（非严格模式）或 undefined（严格模式）<br><br><strong>箭头函数</strong><br>• 没有自己的 this，继承外层作用域的 this（词法绑定）<br>• 不能用作构造函数，不能 call/apply/bind 改变其 this	JavaScript this
下面代码输出什么？为什么？<br>const obj = { name: 'Vue', show: () => { console.log(this.name); } };<br>obj.show();	<strong>输出</strong>：浏览器非严格模式下输出空字符串（严格模式报错）。<br><strong>原因</strong>：箭头函数的 this 在定义时确定，指向外层作用域（此处是全局或模块），而不是 obj。全局对象的 name 属性通常为空字符串（或 undefined），所以输出空字符串。<br>注意：若全局未定义 name 属性，则输出 undefined，但浏览器默认有 window.name（空字符串）。	JavaScript this
简述浏览器 Event Loop 机制，并说明宏任务与微任务的执行顺序。	1. 执行一个宏任务（从宏任务队列取出）<br>2. 执行过程中遇到微任务，将其加入微任务队列<br>3. 当前宏任务执行完毕后，<strong>依次清空所有微任务</strong><br>4. 执行渲染（如有必要）<br>5. 取下一个宏任务，重复<br><br>常见宏任务：setTimeout、setInterval、I/O、UI 渲染<br>常见微任务：Promise.then、MutationObserver、queueMicrotask	JavaScript 异步
Promise 的 then、catch、finally 在链式调用中如何传递值？	• then 中返回一个值或 Promise，会被包装为 Promise 传给下一个 then<br>• 如果 then 中没有返回，则下一个 then 接收 undefined<br>• catch 捕获之前的错误，若没有错误则跳过<br>• finally 不接收参数，不影响后续 then 的传递值，但会等待 finally 回调执行完（若返回 Promise 则等待）	JavaScript 异步
手写一个 debounce（防抖），并说明适用场景。	function debounce(fn, delay) {<br>  let timer = null;<br>  return function(...args) {<br>    if (timer) clearTimeout(timer);<br>    timer = setTimeout(() => {<br>      fn.apply(this, args);<br>    }, delay);<br>  };<br>}<br><br>适用场景：搜索输入联想、窗口 resize 事件、按钮防重复提交。	JavaScript 手写
手写一个 deepClone（深拷贝），考虑基础类型、数组、对象、循环引用。	function deepClone(obj, map = new WeakMap()) {<br>  if (obj === null || typeof obj !== 'object') return obj;<br>  if (map.has(obj)) return map.get(obj);<br>  const clone = Array.isArray(obj) ? [] : {};<br>  map.set(obj, clone);<br>  for (let key in obj) {<br>    if (obj.hasOwnProperty(key)) {<br>      clone[key] = deepClone(obj[key], map);<br>    }<br>  }<br>  return clone;<br>}<br><br>说明：利用 WeakMap 解决循环引用；区分数组和普通对象；只拷贝自有属性。	JavaScript 手写
