正面	反面	标签
单例模式是什么？在前端中有哪些应用场景？	<strong>定义</strong><br>确保一个类只有一个实例，并提供一个全局访问点。<br><br><strong>实现方式</strong><br>class Singleton {<br>  constructor() {<br>    if (!Singleton.instance) {<br>      Singleton.instance = this<br>    }<br>    return Singleton.instance<br>  }<br>}<br><br>// 闭包实现<br>const Singleton = (function() {<br>  let instance = null<br>  return function() {<br>    if (!instance) instance = this<br>    return instance<br>  }<br>})()<br><br><strong>应用场景</strong><br>• 全局状态管理（Vuex、Pinia）<br>• 全局弹窗组件（Toast、Modal）<br>• 日志记录器<br>• 数据库连接池	设计模式
观察者模式和发布订阅模式有什么区别？	<strong>观察者模式</strong><br>• 目标和观察者直接通信，互相知道对方<br>• 同步执行<br>• 紧耦合<br><br><strong>发布订阅模式</strong><br>• 通过事件中心调度，发布者和订阅者互不知晓<br>• 异步执行（通常）<br>• 松耦合<br><br><strong>代码示例对比</strong><br>// 观察者模式<br>class Subject {<br>  constructor() { this.observers = [] }<br>  addObserver(observer) { this.observers.push(observer) }<br>  notify(data) { this.observers.forEach(o => o.update(data)) }<br>}<br><br>// 发布订阅模式<br>class EventBus {<br>  constructor() { this.events = {} }<br>  on(name, fn) {<br>    if (!this.events[name]) this.events[name] = []<br>    this.events[name].push(fn)<br>  }<br>  emit(name, data) {<br>    if (!this.events[name]) return<br>    this.events[name].forEach(fn => fn(data))<br>  }<br>}<br><br><strong>前端应用</strong><br>• 观察者模式：Vue 响应式系统<br>• 发布订阅模式：eventBus、Node.js EventEmitter	设计模式
工厂模式是什么？在前端中有哪些应用？	<strong>定义</strong><br>定义一个创建对象的接口，由子类决定实例化哪个类。<br><br><strong>简单工厂</strong><br>class Button {<br>  constructor(text, type) {<br>    this.text = text<br>    this.type = type<br>  }<br>  render() {<br>    const btn = document.createElement('button')<br>    btn.textContent = this.text<br>    btn.className = `btn btn-${this.type}`<br>    return btn<br>  }<br>}<br><br>class ButtonFactory {<br>  static create(type, text) {<br>    switch(type) {<br>      case 'primary': return new Button(text, 'primary')<br>      case 'danger': return new Button(text, 'danger')<br>      default: return new Button(text, 'default')<br>    }<br>  }<br>}<br><br><strong>应用场景</strong><br>• 创建不同类型的组件（按钮、弹窗）<br>• Vue 的 createElement / h 函数<br>• 解析不同格式的数据（JSON、XML）	设计模式
策略模式是什么？请举例说明。	<strong>定义</strong><br>定义一系列算法，将每个算法封装起来，并使它们可以相互替换。<br><br><strong>代码示例</strong><br>// 表单验证策略<br>const strategies = {<br>  isNonEmpty: (value, errorMsg) => {<br>    if (value === '') return errorMsg<br>  },<br>  minLength: (value, length, errorMsg) => {<br>    if (value.length < length) return errorMsg<br>  },<br>  isMobile: (value, errorMsg) => {<br>    if (!/^1[3-9]\d{9}$/.test(value)) return errorMsg<br>  }<br>}<br><br>class Validator {<br>  constructor() { this.rules = [] }<br>  add(value, rule, errorMsg) {<br>    const [name, param] = rule.split(':')<br>    this.rules.push(() => strategies[name](value, param, errorMsg))<br>  }<br>  validate() {<br>    for (const rule of this.rules) {<br>      const msg = rule()<br>      if (msg) return msg<br>    }<br>  }<br>}<br><br><strong>应用场景</strong><br>• 表单验证<br>• 动画缓动函数<br>• 不同角色的权限计算	设计模式
装饰器模式是什么？在 JavaScript 中如何实现？	<strong>定义</strong><br>动态地给对象添加额外的职责，不改变原对象结构。<br><br><strong>代码示例</strong><br>// 高阶函数装饰器<br>function log(target, name, descriptor) {<br>  const original = descriptor.value<br>  descriptor.value = function(...args) {<br>    console.log(`调用 ${name}，参数：`, args)<br>    return original.apply(this, args)<br>  }<br>  return descriptor<br>}<br><br>class User {<br>  @log<br>  sayHello(name) {<br>    return `Hello, ${name}`<br>  }<br>}<br><br>// 函数装饰器<br>function debounce(fn, delay) {<br>  let timer = null<br>  return function(...args) {<br>    if (timer) clearTimeout(timer)<br>    timer = setTimeout(() => fn.apply(this, args), delay)<br>  }<br>}<br><br>const handleInput = debounce(() => {<br>  console.log('搜索')<br>}, 300)<br><br><strong>应用场景</strong><br>• 日志记录<br>• 性能监控<br>• 权限校验<br>• 防抖节流装饰器	设计模式
代理模式是什么？在 JavaScript 中有哪些应用？	<strong>定义</strong><br>为其他对象提供一种代理，控制对这个对象的访问。<br><br><strong>ES6 Proxy</strong><br>const handler = {<br>  get(target, key) {<br>    if (key === 'age') {<br>      console.log(`获取年龄：${target[key]}`)<br>    }<br>    return target[key]<br>  },<br>  set(target, key, value) {<br>    if (key === 'age' && value < 0) {<br>      throw new Error('年龄不能为负数')<br>    }<br>    target[key] = value<br>    return true<br>  }<br>}<br>const person = new Proxy({ name: '张三', age: 18 }, handler)<br><br><strong>应用场景</strong><br>• 数据校验（set 拦截）<br>• 访问控制（权限校验）<br>• 缓存代理（计算结果缓存）<br>• 虚拟代理（图片预加载）<br><br><strong>图片预加载示例</strong><br>const imgProxy = (function() {<br>  const img = new Image()<br>  const proxyImg = new Image()<br>  proxyImg.onload = () => img.src = proxyImg.src<br>  return { setSrc: (src) => { img.src = 'loading.gif'; proxyImg.src = src } }<br>})()	设计模式
发布订阅模式如何实现一个简易 eventBus？	<strong>代码实现</strong><br>class EventBus {<br>  constructor() {<br>    this.events = {}<br>  }<br><br>  on(name, callback) {<br>    if (!this.events[name]) {<br>      this.events[name] = []<br>    }<br>    this.events[name].push(callback)<br>    return this<br>  }<br><br>  once(name, callback) {<br>    const onceCallback = (...args) => {<br>      callback(...args)<br>      this.off(name, onceCallback)<br>    }<br>    return this.on(name, onceCallback)<br>  }<br><br>  emit(name, ...args) {<br>    if (!this.events[name]) return<br>    this.events[name].forEach(cb => cb(...args))<br>    return this<br>  }<br><br>  off(name, callback) {<br>    if (!this.events[name]) return<br>    if (!callback) {<br>      delete this.events[name]<br>      return<br>    }<br>    this.events[name] = this.events[name].filter(cb => cb !== callback)<br>    return this<br>  }<br><br>  clear(name) {<br>    if (name) {<br>      delete this.events[name]<br>    } else {<br>      this.events = {}<br>    }<br>    return this<br>  }<br>}<br><br><strong>使用示例</strong><br>const bus = new EventBus()<br>bus.on('test', (data) => console.log(data))<br>bus.emit('test', 'hello')	设计模式
适配器模式是什么？在前端中有哪些应用？	<strong>定义</strong><br>将一个类的接口转换成客户期望的另一个接口，使原本不兼容的类可以一起工作。<br><br><strong>代码示例</strong><br>// 旧接口<br>class OldApi {<br>  getUser() {<br>    return { userName: '张三', userAge: 18 }<br>  }<br>}<br><br>// 新接口期望的数据格式<br>class Adapter {<br>  constructor(oldApi) {<br>    this.oldApi = oldApi<br>  }<br>  getUserInfo() {<br>    const old = this.oldApi.getUser()<br>    return {<br>      name: old.userName,<br>      age: old.userAge<br>    }<br>  }<br>}<br><br><strong>应用场景</strong><br>• 兼容不同版本的 API<br>• 统一第三方库的调用方式<br>• Vue 的 computed 适配数据格式<br>• axios 适配不同环境（浏览器/Node.js）	设计模式
如何实现数组扁平化（flatten）？有哪些方法？	<strong>方法一：递归</strong><br>function flatten(arr) {<br>  let result = []<br>  for (let i = 0; i < arr.length; i++) {<br>    if (Array.isArray(arr[i])) {<br>      result = result.concat(flatten(arr[i]))<br>    } else {<br>      result.push(arr[i])<br>    }<br>  }<br>  return result<br>}<br><br><strong>方法二：reduce</strong><br>function flatten(arr) {<br>  return arr.reduce((prev, cur) => {<br>    return prev.concat(Array.isArray(cur) ? flatten(cur) : cur)<br>  }, [])<br>}<br><br><strong>方法三：flat 方法（ES10）</strong><br>arr.flat(Infinity)<br><br><strong>方法四：扩展运算符 + some</strong><br>while (arr.some(Array.isArray)) {<br>  arr = [].concat(...arr)<br>}<br>return arr	算法手写
如何实现数组去重？有哪些方法？	<strong>方法一：Set（推荐）</strong><br>const unique = arr => [...new Set(arr)]<br><br><strong>方法二：filter + indexOf</strong><br>const unique = arr => arr.filter((item, index) => arr.indexOf(item) === index)<br><br><strong>方法三：reduce + includes</strong><br>const unique = arr => arr.reduce((prev, cur) => {<br>  return prev.includes(cur) ? prev : [...prev, cur]<br>}, [])<br><br><strong>方法四：Map（对象去重）</strong><br>const unique = arr => {<br>  const map = new Map()<br>  return arr.filter(item => !map.has(item) && map.set(item, 1))<br>}<br><br><strong>对象数组去重（根据某个字段）</strong><br>const uniqueByKey = (arr, key) => {<br>  const map = new Map()<br>  return arr.filter(item => !map.has(item[key]) && map.set(item[key], 1))<br>}	算法手写
