正面	反面	标签
TypeScript 中 any、unknown、never、void 的区别是什么？	<strong>any</strong><br>• 任意类型，关闭类型检查<br>• 可赋值给任何类型，任何类型也可赋值给 any<br>• 应尽量避免使用<br><br><strong>unknown</strong><br>• 未知类型，类型安全的 any<br>• 不能直接使用，需类型收窄（typeof、instanceof、类型断言）<br>• 比 any 更安全<br><br><strong>never</strong><br>• 永不存在的值类型<br>• 用于函数抛出异常或无限循环<br>• 穷尽检查时使用（如 switch 的 default）<br><br><strong>void</strong><br>• 无返回值<br>• 函数没有 return 或 return undefined<br>• 与 undefined 相似但语义不同	TypeScript 基础
interface 和 type 有什么区别？	<strong>相同点</strong><br>• 都可描述对象形状<br>• 都支持泛型、可选属性、只读属性<br><br><strong>不同点</strong><br><strong>interface</strong><br>• 可声明合并（同名 interface 自动合并）<br>• 只能描述对象、函数、类结构<br>• 可被类实现（implements）<br>• 更适合定义公共 API<br><br><strong>type</strong><br>• 不可声明合并（同名 type 报错）<br>• 可定义联合类型、元组、原始类型别名<br>• 可使用 typeof 获取类型<br>• 更适合复杂类型组合<br><br><strong>选择建议</strong><br>• 库开发推荐 interface（可扩展）<br>• 需要联合类型、映射类型时用 type	TypeScript 基础
TypeScript 中类型守卫有哪些？	<strong>1. typeof</strong><br>function isString(value: unknown): value is string {<br>  return typeof value === 'string'<br>}<br><br><strong>2. instanceof</strong><br>value instanceof Date<br><br><strong>3. in 操作符</strong><br>if ('name' in obj) { /* obj 有 name 属性 */ }<br><br><strong>4. 自定义类型守卫（is）</strong><br>function isFish(pet: Fish | Bird): pet is Fish {<br>  return (pet as Fish).swim !== undefined<br>}<br><br><strong>5. 断言函数（asserts）</strong><br>function assertIsString(value: unknown): asserts value is string {<br>  if (typeof value !== 'string') throw new Error('Not a string')<br>}<br><br><strong>6. 区分联合类型（可辨识联合）</strong><br>type Shape = { kind: 'circle'; radius: number } | { kind: 'square'; size: number }<br>if (shape.kind === 'circle') { /* shape 自动推断为 circle 类型 */ }	TypeScript 高级
TypeScript 中泛型的作用是什么？如何使用？	<strong>作用</strong><br>泛型允许在定义函数、接口、类时不预先指定具体类型，使用时再指定，提高代码复用性。<br><br><strong>泛型函数</strong><br>function identity&lt;T&gt;(value: T): T {<br>  return value<br>}<br>// 使用<br>identity&lt;string&gt;('hello')<br>identity('hello')  // 类型推断<br><br><strong>泛型接口</strong><br>interface ApiResponse&lt;T&gt; {<br>  code: number<br>  data: T<br>  message: string<br>}<br><br><strong>泛型类</strong><br>class Stack&lt;T&gt; {<br>  private items: T[] = []<br>  push(item: T) { this.items.push(item) }<br>  pop(): T | undefined { return this.items.pop() }<br>}<br><br><strong>泛型约束</strong><br>function getProperty&lt;T, K extends keyof T&gt;(obj: T, key: K) {<br>  return obj[key]<br>}	TypeScript 泛型
TypeScript 中常用的内置工具类型有哪些？	<strong>Partial&lt;T&gt;</strong><br>将所有属性变为可选<br><br><strong>Required&lt;T&gt;</strong><br>将所有属性变为必选<br><br><strong>Readonly&lt;T&gt;</strong><br>将所有属性变为只读<br><br><strong>Pick&lt;T, K&gt;</strong><br>从 T 中选取 K 属性<br><br><strong>Omit&lt;T, K&gt;</strong><br>从 T 中排除 K 属性<br><br><strong>Record&lt;K, T&gt;</strong><br>构造属性键为 K，属性值为 T 的类型<br><br><strong>Exclude&lt;T, U&gt;</strong><br>从 T 中排除可赋值给 U 的类型<br><br><strong>Extract&lt;T, U&gt;</strong><br>从 T 中提取可赋值给 U 的类型<br><br><strong>NonNullable&lt;T&gt;</strong><br>排除 null 和 undefined<br><br><strong>ReturnType&lt;T&gt;</strong><br>获取函数返回类型<br><br><strong>Parameters&lt;T&gt;</strong><br>获取函数参数类型（元组）	TypeScript 工具类型
如何实现一个 TypeScript 工具类型？以 Partial 为例。	<strong>Partial 实现</strong><br>type MyPartial&lt;T&gt; = {<br>  [P in keyof T]?: T[P]<br>}<br><br><strong>Readonly 实现</strong><br>type MyReadonly&lt;T&gt; = {<br>  readonly [P in keyof T]: T[P]<br>}<br><br><strong>Pick 实现</strong><br>type MyPick&lt;T, K extends keyof T&gt; = {<br>  [P in K]: T[P]<br>}<br><br><strong>Record 实现</strong><br>type MyRecord&lt;K extends keyof any, T&gt; = {<br>  [P in K]: T<br>}<br><br><strong>Omit 实现（基于 Pick 和 Exclude）</strong><br>type MyOmit&lt;T, K extends keyof T&gt; = Pick&lt;T, Exclude&lt;keyof T, K&gt;&gt;<br><br><strong>核心语法</strong><br>• 映射类型（Mapped Types）：[P in keyof T]<br>• 条件类型（Conditional Types）：T extends U ? X : Y<br>• keyof：获取类型的所有键<br>• typeof：获取值的类型	TypeScript 工具类型
TypeScript 中什么是可辨识联合（Discriminated Union）？	<strong>定义</strong><br>可辨识联合是一种模式，通过一个公共的字面量属性（可辨识特征）来区分联合类型中的不同成员。<br><br><strong>代码示例</strong><br>// 可辨识特征：kind<br>type Shape =<br>  | { kind: 'circle'; radius: number }<br>  | { kind: 'square'; size: number }<br>  | { kind: 'triangle'; base: number; height: number }<br><br>function getArea(shape: Shape): number {<br>  switch (shape.kind) {<br>    case 'circle':<br>      return Math.PI * shape.radius ** 2  // shape 自动推断为 circle<br>    case 'square':<br>      return shape.size ** 2  // shape 自动推断为 square<br>    case 'triangle':<br>      return (shape.base * shape.height) / 2  // shape 自动推断为 triangle<br>    default:<br>      const _exhaustiveCheck: never = shape  // 穷尽检查<br>      return _exhaustiveCheck<br>  }<br>}<br><br><strong>优势</strong><br>• TypeScript 可自动收窄类型<br>• 编译时检查是否处理所有情况<br>• 适合状态机、Redux Action 等场景	TypeScript 高级
TypeScript 中的装饰器有哪些类型？如何使用？	<strong>类装饰器</strong><br>function logClass(target: Function) {<br>  console.log(`类 ${target.name} 被创建`)<br>}<br><br>@logClass<br>class User { }<br><br><strong>方法装饰器</strong><br>function logMethod(target: any, propertyKey: string, descriptor: PropertyDescriptor) {<br>  const original = descriptor.value<br>  descriptor.value = function(...args: any[]) {<br>    console.log(`调用 ${propertyKey}，参数：`, args)<br>    return original.apply(this, args)<br>  }<br>}<br><br><strong>属性装饰器</strong><br>function logProperty(target: any, propertyKey: string) {<br>  let value = target[propertyKey]<br>  Object.defineProperty(target, propertyKey, {<br>    get: () => { console.log(`获取 ${propertyKey}: ${value}`); return value },<br>    set: (newVal) => { console.log(`设置 ${propertyKey}: ${newVal}`); value = newVal }<br>  })<br>}<br><br><strong>参数装饰器</strong><br>function logParameter(target: any, propertyKey: string, parameterIndex: number) {<br>  console.log(`参数 ${parameterIndex} 在方法 ${propertyKey} 中`)<br>}<br><br><strong>配置要求</strong><br>• tsconfig.json 开启 "experimentalDecorators": true<br>• 在 Vue 3 或 Angular 中常用	TypeScript 装饰器
TypeScript 中如何声明模块和类型声明文件（.d.ts）？	<strong>全局类型声明</strong><br>// types/global.d.ts<br>declare global {<br>  interface Window {<br>    __APP_VERSION__: string<br>  }<br>  const APP_NAME: string<br>}<br>export { }<br><br><strong>模块声明</strong><br>// types/module.d.ts<br>declare module '*.vue' {<br>  import type { DefineComponent } from 'vue'<br>  const component: DefineComponent&lt;{}, {}, any&gt;<br>  export default component<br>}<br><br>declare module 'lodash' {<br>  export function chunk&lt;T&gt;(array: T[], size: number): T[][]<br>}<br><br><strong>第三方库补充类型</strong><br>// types/package.d.ts<br>declare module 'some-package' {<br>  export function someFunction(): void<br>}<br><br><strong>命名空间（旧式）</strong><br>declare namespace MyLib {<br>  function doSomething(): void<br>}<br><br><strong>使用方式</strong><br>• 将 .d.ts 文件放在 tsconfig.json 的 include 路径中<br>• 或在 package.json 中配置 "types" 字段	TypeScript 高级
TypeScript 中协变（Covariance）和逆变（Contravariance）是什么？	<strong>协变（Covariance）</strong><br>子类型可以赋值给父类型。TypeScript 中默认支持（如 Dog → Animal）。<br><br><strong>逆变（Contravariance）</strong><br>父类型可以赋值给子类型。函数参数类型是逆变的。<br><br><strong>代码示例</strong><br>class Animal { }<br>class Dog extends Animal { bark() { } }<br><br>// 协变：Dog 可以赋值给 Animal<br>let animal: Animal = new Dog()<br><br>// 逆变：函数参数<br>type AnimalHandler = (animal: Animal) => void<br>type DogHandler = (dog: Dog) => void<br><br>let animalHandler: AnimalHandler = (animal) => { }<br>let dogHandler: DogHandler = animalHandler  // 安全<br><br>// 函数返回类型是协变的<br>type GetAnimal = () => Animal<br>type GetDog = () => Dog<br>let getAnimal: GetAnimal = () => new Dog()  // 安全<br><br><strong>安全设置</strong><br>tsconfig.json 中 "strictFunctionTypes": true 开启函数类型逆变检查	TypeScript 高级
TypeScript 中 keyof 和 typeof 的作用是什么？	<strong>keyof</strong><br>获取对象类型的所有键（属性名）组成的联合类型。<br><br>interface User {<br>  name: string<br>  age: number<br>}<br>type UserKeys = keyof User  // 'name' | 'age'<br><br><strong>typeof</strong><br>获取变量或表达式的类型。<br><br>const user = { name: '张三', age: 18 }<br>type UserType = typeof user  // { name: string; age: number }<br><br><strong>组合使用</strong><br>function getProperty&lt;T, K extends keyof T&gt;(obj: T, key: K): T[K] {<br>  return obj[key]<br>}<br><br>const user = { name: '张三', age: 18 }<br>getProperty(user, 'name')  // 返回 string，类型安全<br><br><strong>与索引类型结合</strong><br>type ValueOf&lt;T&gt; = T[keyof T]<br>type UserValues = ValueOf&lt;User&gt;  // string | number	TypeScript 基础
TypeScript 中如何处理循环引用的类型定义？	<strong>接口循环引用</strong><br>interface TreeNode {<br>  value: string<br>  children: TreeNode[]  // 直接引用自身<br>}<br><br><strong>类型别名循环引用（需使用接口）</strong><br>// ❌ 错误：类型别名不能直接引用自身<br>// type TreeNode = { value: string; children: TreeNode[] }<br><br>// ✅ 正确：使用接口<br>interface TreeNode {<br>  value: string<br>  children: TreeNode[]<br>}<br><br>// ✅ 或使用 interface 包装<br>type TreeNode = {<br>  value: string<br>  children: TreeNode[]  // 实际允许，但推荐用 interface<br>}<br><br><strong>跨文件循环引用</strong><br>// a.ts<br>import { B } from './b'<br>export interface A { b?: B }<br><br>// b.ts<br>import { A } from './a'<br>export interface B { a?: A }<br><br><strong>解决方案</strong><br>• 使用 interface 而非 type<br>• 提取公共类型<br>• 使用 import type 避免运行时循环依赖	TypeScript 高级
