正面	反面	标签
浏览器从输入 URL 到页面展示的完整流程是怎样的？	<strong>1. DNS 解析</strong><br>将域名解析为 IP 地址（浏览器缓存 → 系统缓存 → 路由器缓存 → DNS 服务器）<br><br><strong>2. TCP 连接</strong><br>建立 TCP 三次握手连接<br><br><strong>3. 发送 HTTP 请求</strong><br>浏览器向服务器发送请求报文<br><br><strong>4. 服务器处理请求并返回响应</strong><br>服务器处理请求，返回 HTML、CSS、JS 等资源<br><br><strong>5. 浏览器解析渲染</strong><br>• 解析 HTML 构建 DOM 树<br>• 解析 CSS 构建 CSSOM 树<br>• 合并生成渲染树（Render Tree）<br>• 布局（Layout）：计算元素位置大小<br>• 绘制（Paint）：绘制像素<br>• 合成（Composite）：图层合并显示<br><br><strong>6. TCP 断开</strong><br>四次挥手断开连接	浏览器渲染
什么是关键渲染路径（Critical Rendering Path）？如何优化？	<strong>定义</strong>：<br>浏览器从接收 HTML 到首次渲染完成的过程，包括 DOM 树、CSSOM 树、渲染树、布局、绘制。<br><br><strong>优化策略</strong>：<br>• 减少关键资源数量：移除阻塞渲染的 CSS/JS<br>• 减少关键资源大小：压缩、混淆、Tree Shaking<br>• 缩短关键路径长度：内联关键 CSS、async/defer 加载 JS<br>• 使用媒体查询标记非关键 CSS（如 print）<br>• 预加载关键资源（preload、preconnect）	浏览器渲染
重排（Reflow）和重绘（Repaint）的区别是什么？如何避免？	<strong>重排</strong>：<br>当 DOM 元素尺寸、位置、结构发生变化，浏览器重新计算元素几何属性，开销大。<br><br><strong>重绘</strong>：<br>当元素样式改变（如颜色、背景），但不影响布局，浏览器重新绘制，开销较小。<br><br><strong>触发重排的操作</strong>：<br>• 添加/删除 DOM 元素<br>• 改变元素尺寸、位置、边距<br>• 获取 offsetWidth/scrollTop 等布局属性<br>• 改变窗口大小<br><br><strong>避免方法</strong>：<br>• 批量修改样式（使用 class 或 cssText）<br>• 使用 documentFragment 批量操作 DOM<br>• 脱离文档流（position: absolute/fixed）<br>• 缓存布局属性，避免频繁读取<br>• 使用 transform、opacity 实现动画（不触发重排）	浏览器渲染
浏览器的强缓存和协商缓存有什么区别？	<strong>强缓存</strong>：<br>• 不向服务器发送请求，直接从缓存读取资源<br>• 相关字段：Cache-Control（优先级高）、Expires<br>• 状态码：200（from disk cache / from memory cache）<br><br><strong>协商缓存</strong>：<br>• 向服务器发送请求，服务器判断资源是否更新<br>• 未更新则返回 304 Not Modified，从缓存读取<br>• 相关字段：Last-Modified / If-Modified-Since、ETag / If-None-Match<br><br><strong>流程</strong>：<br>1. 先检查强缓存，命中则直接使用<br>2. 未命中则发送请求，服务器检查协商缓存<br>3. 命中则返回 304，未命中则返回新资源（200）	HTTP 缓存
Cache-Control 的常用指令有哪些？	<strong>常用指令</strong>：<br>• public：可被任何中间节点缓存（CDN、代理）<br>• private：仅浏览器可缓存<br>• no-cache：跳过强缓存，每次发送请求进行协商缓存<br>• no-store：完全禁止缓存，每次请求都重新获取<br>• max-age=秒：设置缓存最大有效期（相对时间）<br>• s-maxage=秒：CDN 等共享缓存有效期<br>• immutable：资源不会改变，可永久缓存（适用于带 hash 的静态资源）<br><br><strong>示例</strong>：<br>Cache-Control: public, max-age=31536000, immutable	HTTP 缓存
ETag 和 Last-Modified 的区别是什么？	<strong>Last-Modified</strong>：<br>• 基于时间戳判断资源是否修改<br>• 精度为秒级，无法检测 1 秒内多次修改<br>• 存在时间篡改可能<br><br><strong>ETag</strong>：<br>• 基于资源内容生成的唯一标识（如 hash）<br>• 精度更高，可检测任何细微修改<br>• 计算 ETag 有一定性能开销<br><br><strong>优先级</strong>：<br>ETag 优先级高于 Last-Modified<br><br><strong>使用场景</strong>：<br>• 静态资源：两者都可，推荐 ETag + Cache-Control<br>• 动态资源：需要精准判断时使用 ETag	HTTP 缓存
什么是浏览器缓存位置？缓存读取优先级是怎样的？	<strong>缓存位置</strong>：<br>• Service Worker：可编程控制缓存，优先级最高<br>• Memory Cache：内存缓存，速度快，生命周期短（关闭标签页即释放）<br>• Disk Cache：硬盘缓存，速度较慢，容量大，持久化存储<br>• Push Cache：HTTP/2 推送缓存，仅会话内有效<br><br><strong>读取优先级</strong>：<br>Service Worker → Memory Cache → Disk Cache → Push Cache → 发送网络请求<br><br><strong>注意</strong>：<br>• 大文件通常存 Disk Cache<br>• 关闭标签页后 Memory Cache 清空，Disk Cache 保留	HTTP 缓存
为什么说 CSS 会阻塞渲染，而 JS 会阻塞 DOM 解析？如何优化？	<strong>CSS 阻塞渲染</strong>：<br>• CSS 构建 CSSOM 树是渲染的前置条件<br>• 浏览器会等待 CSS 下载解析完成，再进行渲染<br>• 优化：内联关键 CSS，非关键 CSS 异步加载（media 属性）<br><br><strong>JS 阻塞 DOM 解析</strong>：<br>• JS 执行可能修改 DOM 结构，浏览器会暂停 DOM 解析<br>• 优化：<br>  • script 标签加 async：异步下载，下载完立即执行（执行时阻塞）<br>  • script 标签加 defer：异步下载，DOM 解析完后执行（不阻塞）<br>  • 将 script 放在 body 底部	浏览器渲染
什么是跨域？浏览器的同源策略是什么？	<strong>同源策略</strong>：<br>浏览器安全机制，限制一个源的文档或脚本与另一个源的资源进行交互。<br><br><strong>同源定义</strong>：<br>协议 + 域名 + 端口 三者完全相同。<br><br><strong>跨域</strong>：<br>当前页面与请求资源协议、域名、端口任一不同，即跨域。<br><br><strong>同源策略限制</strong>：<br>• 无法读取不同源的 Cookie、LocalStorage、IndexedDB<br>• 无法操作不同源的 DOM<br>• 无法发送跨域 AJAX 请求（可发送但浏览器拦截响应）<br><br><strong>注意</strong>：<br>• 跨域是浏览器的限制，服务端之间不存在跨域<br>• 部分标签不受同源策略限制：&lt;img&gt;、&lt;script&gt;、&lt;link&gt;、&lt;iframe&gt;（可加载但无法读取内容）	跨域
CORS 跨域资源共享的原理是什么？	<strong>CORS 原理</strong>：<br>浏览器在发送跨域请求时，自动添加 Origin 请求头，服务端通过响应头中的 Access-Control-Allow-Origin 告知浏览器允许跨域。<br><br><strong>简单请求</strong>：<br>• 方法为 GET、POST、HEAD<br>• 仅包含安全请求头（Accept、Accept-Language、Content-Language、Content-Type 为 application/x-www-form-urlencoded、multipart/form-data、text/plain）<br>• 浏览器直接发送请求，检查响应头<br><br><strong>预检请求（非简单请求）</strong>：<br>• 先发送 OPTIONS 请求，确认服务端是否允许<br>• 服务端返回允许的跨域策略<br>• 浏览器再发送实际请求<br><br><strong>关键响应头</strong>：<br>• Access-Control-Allow-Origin：允许的源（* 或具体域名）<br>• Access-Control-Allow-Methods：允许的方法<br>• Access-Control-Allow-Headers：允许的请求头<br>• Access-Control-Allow-Credentials：是否允许携带凭证<br>• Access-Control-Max-Age：预检请求缓存时间	跨域
